,L3,Reporter,Partner,Reporter_Total_Imports,Partner_Total_Imports,Reporter_Total_Exports,Partner_Total_Exports,Ind1,Ind2,Ind3,Ind4
97,000,C643,C004,231664135280.0,8568011959.0,438721611962.33,2080961759.19,0.0,0.0006,0.0304,0.0017
226,Z99,C643,C004,9074291104.0,1757664328.0,21576112887.53,3339462.0,0.0,0.0041,0.0504,0.0013
353,A01,C643,C004,214626393.0,8421745.0,66443790.0,2204295.0,0.0,0.0,0.0,0.0
480,A02,C643,C004,1588528463.0,8914214.0,1022198121.37,178651.0,0.0,0.0,0.0,0.0
607,K01,C643,C004,2083147941.0,5097384.0,6953390406.0,10008.0,0.0,0.0,0.0,0.0
734,B01,C643,C004,526512884.0,49393889.0,54548593.0,9504.0,0.0,0.0,0.0,0.0
861,B09,C643,C004,824365095.0,8223586.0,110078028.0,11745.0,0.0,0.0,0.0,0.0
988,B02,C643,C004,1222225128.0,2828329.0,89879864.0,6875.0,0.0,0.0,0.0,0.0
1115,J02,C643,C004,808638376.0,9393760.0,230169199.49,11963645.0,0.0002,0.0001,0.0016,0.015
1242,C09,C643,C004,780026580.0,27535675.0,67724115.07,120661391.0,0.0003,0.0,0.0,0.0017
1369,J01,C643,C004,1415260963.0,32665645.0,1031559537.0,96173198.0,0.0,0.0,0.0,0.0
1496,C01,C643,C004,2070084740.0,109510321.0,835783884.87,150473722.0,0.0,0.0002,0.0017,0.0
1623,C02,C643,C004,5538905930.0,47396232.0,427710824.0,655652853.0,0.0006,0.0,0.0,0.0048
1750,D01,C643,C004,1037375827.0,417025.0,257560842.0,25530.0,0.0,0.0,0.0,0.0
1877,D02,C643,C004,437764507.0,124032238.0,100160900.0,70110.32,0.0,0.0,0.0,0.0
2004,E01,C643,C004,427535525.0,595678248.0,10446448979.05,1344447.0,0.0,0.0,0.0,0.0
2131,F01,C643,C004,1528326260.0,64330075.0,1265417240.0,13529331.0,0.0,0.0,0.0,0.0
2258,F03,C643,C004,14797639.0,2555522.0,1052250.0,0.0,0.0,0.0,0.0,0.0
2385,F02,C643,C004,1202037591.0,57175538.0,4337610692.19,254623.0,0.0,0.0036,0.2701,0.0
2512,F04,C643,C004,461186463.0,383686471.0,1463758984.0,6468.0,0.0,0.0221,0.0844,0.0
2639,G00,C643,C004,314363615.0,227404903.0,540138964.38,494867.0,0.0,0.0012,0.0027,0.0
2766,D03,C643,C004,1221280632.0,81405815.0,811861832.63,3122.0,0.0,0.0,0.0,0.0
2893,E03,C643,C004,1943182563.0,26129382.0,1352066674.58,383379.0,0.0,0.0,0.0014,0.0
3020,H01,C643,C004,575826094.0,30259656.0,298944848.0,1332352.0,0.0,0.0,0.0,0.0
3147,H02,C643,C004,2516711527.0,0.0,440938768.53,36773.0,0.0,0.0,0.0,0.0
3274,H03,C643,C004,836850354.0,78680164.0,514543818.0,519079.0,0.0,0.0,0.0,0.0
3401,L02,C643,C004,2974918600.0,6973971.0,7904275773.21,60385403.0,0.0,0.0,0.0,0.0
3528,L01,C643,C004,639664167.0,1091671283.0,65056897618.06,111296793.0,0.0,0.0006,0.037,0.0
3655,N09,C643,C004,9899297202.0,91529460.0,2829868647.05,333625.0,0.0,0.0004,0.0128,0.0
3782,M01,C643,C004,628439.0,34372464.0,95856396274.0,50581430.0,0.0,0.0,0.0,0.0
3909,M02,C643,C004,1036397182.0,791378916.0,57228401737.29,76876.0,0.0,0.0013,0.0933,0.0
4036,V09,C643,C004,2865447634.0,39405937.0,2280255763.5,2717392.0,0.0,0.0,0.0,0.0
4163,N01,C643,C004,3070078790.0,38747184.0,5164535132.43,286134.0,0.0,0.0,0.0,0.0
4290,N02,C643,C004,3891161109.0,19234144.0,3042583394.87,105417.0,0.0,0.0,0.0,0.0
4417,N03,C643,C004,11433208082.0,161928153.0,1218712932.51,536504.34,0.0,0.0006,0.0045,0.0
4544,L03,C643,C004,118906151.0,36092.0,10265742057.73,3734.0,0.0,0.0,0.0,0.0
4671,P09,C643,C004,4344324212.0,120717542.0,900441768.9,20383580.32,0.0,0.0,0.0001,0.0
4798,N04,C643,C004,8798653719.0,115256366.0,5350780458.26,804308.0,0.0,0.0,0.0,0.0
4925,R01,C643,C004,3615533652.0,185445702.0,3680440996.9,572793.0,0.0,0.0002,0.0045,0.0
